DÉPARTEMENT,COMMUNES,LIEU DE VOTE,N°,ÉLECTEURS,IMPLANTATION
BAKEL,BAKEL,ECOLE 3,01,573,CLASSE CE1B
BAKEL,BAKEL,ECOLE 3,02,565,CLASSE CM2B
BAKEL,BAKEL,ECOLE 3,03,364,CLASSE CE2 A
BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,01,515,CLASSE CE1B
BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,02,521,CLASSE CM1B
BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,03,521,CLASSE CE2 A
BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,04,310,CLASSE CP
BAKEL,BAKEL,ECOLE IBRAHIMA MALAL DIAMAN BATHILY,01,524,CLASSE CP
BAKEL,BAKEL,ECOLE IBRAHIMA MALAL DIAMAN BATHILY,02,524,CLASSE CM2A
BAKEL,BAKEL,ECOLE IBRAHIMA MALAL DIAMAN BATHILY,03,523,CLASSE CM1 B
BAKEL,BAKEL,MAIRIE,01,526,SALLE DELIBERATIONS
BAKEL,BAKEL,MAIRIE,02,526,BUREAU SECRETARIAT
BAKEL,BAKEL,MAIRIE,03,528,SALLE 1 SALLE DES FETES MAIRIE
BAKEL,BAKEL,MAIRIE,04,525,SALLE 2 SALLE DES FETES MAIRIE
BAKEL,BAKEL,MAIRIE,05,525,BUREAU SALLE DES FETES MAIRIE
BAKEL,BAKEL,THEATRE DE VERDURE,01,598,SALLE 1
BAKEL,BAKEL,THEATRE DE VERDURE,02,414,SALLE 2
BAKEL,BAKEL,THEATRE DE VERDURE,03,414,CLASSE 3
BAKEL,DIAWARA,CEM DIAWARA,01,526,ECOLE 3 DE DIAWARA CLASSE CP
BAKEL,DIAWARA,CEM DIAWARA,02,527,ECOLE 3 DE DIAWARA CLASSE CE1
BAKEL,DIAWARA,CEM DIAWARA,03,526,ECOLE 3 DE DIAWARA CLASSE CE2
BAKEL,DIAWARA,CEM DIAWARA,04,525,ECOLE 3 DE DIAWARA CLASSE CM1
BAKEL,DIAWARA,CEM DIAWARA,05,489,ECOLE 3 DE DIAWARA CLASSE  CM2
BAKEL,DIAWARA,ECOLE DIAWARA 1,01,574,SALLE CLASSE CPA
BAKEL,DIAWARA,ECOLE DIAWARA 1,02,572,SALLE CLASSE CM1B
BAKEL,DIAWARA,ECOLE DIAWARA 1,03,570,SALLE CLASSE CE1B
BAKEL,KIDIRA,ECOLE ALAHINA BOCAR,01,364,CLASSE
BAKEL,KIDIRA,ECOLE DIBOLY,01,524,CLASSE
BAKEL,KIDIRA,ECOLE GUINAW RAIL,01,221,SALLE DE CLASSE
BAKEL,KIDIRA,ECOLE GUINAW RAIL,01,487,SALLE DE CLASSE
BAKEL,KIDIRA,ECOLE SINTHIOU DIOYE,01,517,CLASSE
BAKEL,KIDIRA,ECOLE THIERNO MALICK DIALLO,01,598,CLASSE
BAKEL,KIDIRA,ECOLE THIERNO MALICK DIALLO,02,596,CLASSE
BAKEL,KIDIRA,ECOLE THIERNO MALICK DIALLO,03,590,CLASSE
BAKEL,KIDIRA,ECOLE THIERNO MALICK DIALLO,04,592,CLASSE
BAKEL,KIDIRA,ECOLE THIERNO MALICK DIALLO,05,595,CLASSE
BAKEL,KIDIRA,ECOLE THIERNO MALICK DIALLO,06,594,CLASSE CM2
BAKEL,BELE,ARIGABO,01,271,CLASSE
BAKEL,BELE,ARI HARA,01,197,CLASSE
BAKEL,BELE,BELE,01,564,CLASSE
BAKEL,BELE,BELE,02,163,CLASSE CM1
BAKEL,BELE,DAHARATOU,01,393,CLASSE
BAKEL,BELE,DAHARATOU,02,390,SALLE DE CLASSE
BAKEL,BELE,DIALIGUEL,01,362,CLASSE
BAKEL,BELE,DIYABOUGOU MOSSI,01,98,CLASSE CI
BAKEL,BELE,FETE GOLOMBI,01,85,CLASSE
