DÉPARTEMENT,COMMUNES,LIEU DE VOTE,N°,ÉLECTEURS,IMPLANTATION
BOUNKILING,BOUNKILING,BOUNKILING,01,578,CLASSE CI A
BOUNKILING,BOUNKILING,BOUNKILING,02,579,CLASSE CP B
BOUNKILING,BOUNKILING,BOUNKILING,03,578,CLASSE CM1 A
BOUNKILING,BOUNKILING,BOUNKILING,04,579,CLASSE CM2 A
BOUNKILING,BOUNKILING,BOUNKILING,05,579,CLASSE CM2 B
BOUNKILING,BOUNKILING,ECOLE DE KEGNETO,01,477,ECOLE CLASSE CI
BOUNKILING,BOUNKILING,,,,
BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,01,597,CLASSE CI A
BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,02,597,CLASSE CP B
BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,03,596,CLASSE CM1 A
BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,04,597,CLASSE CM2 B
BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,05,597,CLASSE CI B
BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,06,596,CLASSE CP A
BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,07,596,CLASSE CE1 A
BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,08,596,ECOLE TOUBE ELHADJI CM2
BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,09,596,ECOLE TOUBE ELHADJI CE2
BOUNKILING,MADINA WANDIFA,MEDINA WANDIFA,10,596,ECOLE TOUBE ELHADJI CP
BOUNKILING,NDIAMACOUTA,NDIAMACOUTA,01,533,ECOLE CP
BOUNKILING,NDIAMACOUTA,NDIAMACOUTA,02,534,ECOLE CI B
BOUNKILING,NDIAMACOUTA,NDIAMACOUTA,03,533,ECOLE CE 1 B
BOUNKILING,NDIAMACOUTA,NDIAMACOUTA,04,533,ECOLE CI A
BOUNKILING,NDIAMACOUTA,NDIAMACOUTA,05,534,ECOLE CE 1 A
BOUNKILING,NDIAMACOUTA,NDIAMACOUTA,06,534,ECOLE CM1
BOUNKILING,NDIAMACOUTA,NDIAMACOUTA,07,533,MAISON COMM. SALLE CONF.
BOUNKILING,BOGHAL,BOGHAL FOLOLO ISMAILA,01,495,CLASSE C E 2
BOUNKILING,BOGHAL,BOGHAL FOLOLO ISMAILA,02,494,CLASSE CI
BOUNKILING,BOGHAL,DIAHIDINA,01,168,ABRI PROVISOIRE
BOUNKILING,BOGHAL,DONGHORO,01,144,ECOLE CLASSE CI
BOUNKILING,BOGHAL,ECOLE DE BOUFARA,01,170,SALLE DE CLASSE
BOUNKILING,BOGHAL,ECOLE DE DAROU BAIDA,01,308,SALLE DE CLASSE
BOUNKILING,BOGHAL,ECOLE DE RYATT,01,283,SALLE DE CLASSE
BOUNKILING,BOGHAL,ECOLE DE SARE DEMBA NDIADO,01,464,SALLE DE CLASSE
BOUNKILING,BOGHAL,IRASSOLI,01,162,ECOLE CLASSE CP
BOUNKILING,BOGHAL,MEDINA MODOU LOUM,01,158,ECOLE MEDINA M.LOUM SALLE DE CLAS
BOUNKILING,BOGHAL,NDIOLOFENE,01,284,CLASSE CI
BOUNKILING,BOGHAL,NDIOLOFENE,02,285,CLASSE C E 2
BOUNKILING,BOGHAL,NIAFOUGNE,01,167,ABRI PROVISOIRE
BOUNKILING,BOGHAL,SARE ALCALY,01,252,CLASSE  CI
BOUNKILING,BOGHAL,SARE ALCALY,02,252,CLASSE CP
BOUNKILING,BOGHAL,SARE ALCALY,03,251,CLASSE CM1
BOUNKILING,BOGHAL,SARE NDIAGA,01,359,ABRI PROVISOIRE
BOUNKILING,BOGHAL,SARE SIDI,01,222,ECOLE SALLE 1
BOUNKILING,BOGHAL,SENOBA,01,412,ECOLE SENOBA SALLE DE CLASSE
BOUNKILING,BOGHAL,SENOBA,02,413,ECOLE SENOBA SALLE DE CLASSE
BOUNKILING,DJINANY,BANDOUMBA MAMADOU,01,264,ECOLE BANDOUMBA M. SALLE DE CLAS
BOUNKILING,DJINANY,DJINANI,01,492,CP1 ECOLE ELEMENTAIRE
BOUNKILING,DJINANY,ECOLE DE MANSABANG,01,392,ABRI PROVISOIRE
BOUNKILING,DJINANY,GASSIKON MANDINGUE,01,134,CLASSE C P
BOUNKILING,DJINANY,KAMBALEBA,01,185,CE2 ECOLE ELEMENTAIRE
BOUNKILING,NDIAMALATHIEL,DATOR KOUTA,01,162,ABRI PROVISOIRE
BOUNKILING,NDIAMALATHIEL,ECOLE DE DATOR ALPHA MAMADI,01,212,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE DATOR ALPHA MAMADI,02,212,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE DATOR ALPHA MAMADI,03,211,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE KOBOEL 2,01,355,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE KOBOEL 2,02,355,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE TOUBA FALL,01,275,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE VELINGARA 3,01,359,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,ECOLE DE VELINGARA 3,02,359,SALLE DE CLASSE
BOUNKILING,NDIAMALATHIEL,KANICOUNDA,01,277,CLASSE CE1
BOUNKILING,NDIAMALATHIEL,NDIAMALATHIEL,01,500,CLASSE CM1
BOUNKILING,NDIAMALATHIEL,NDIAMALATHIEL,02,499,CLASSE CM2
BOUNKILING,NDIAMALATHIEL,SARE BITEYE,01,201,ABRI PROVISOIRE
BOUNKILING,NDIAMALATHIEL,SARE FODE,01,485,ECOLE CLASSE CP
BOUNKILING,NDIAMALATHIEL,SARE FODE,02,484,ECOLE CLASSE CE2
