DÉPARTEMENT,COMMUNES,LIEU DE VOTE,N°,ÉLECTEURS,IMPLANTATION
KANEL,DEMBANCANE,DEMBANCANE ECOLE ELEMENTAIRE 1,01,515,ECOLE CLASSE CPA
KANEL,DEMBANCANE,DEMBANCANE ECOLE ELEMENTAIRE 1,02,515,ECOLE CLASSE CE1A
KANEL,DEMBANCANE,DEMBANCANE ECOLE ELEMENTAIRE 1,03,515,ECOLE CLASSE CM1A
KANEL,DEMBANCANE,DEMBANCANE ECOLE ELEMENTAIRE 1,04,512,ECOLE CLASSE CM2B
KANEL,DEMBANCANE,DEMBANCANE ECOLE ELEMENTAIRE 1,05,506,SALLE DE CLASSE
KANEL,DEMBANCANE,WERMA ECOLE ELEMENTAIRE,01,339,ECOLE CLASSE CE2
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,01,593,CLASSE CE1A
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,02,597,CLASSE CM1B
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,03,600,CLASSE CM1A
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,04,596,CLASSE CE2A
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,05,595,CLASSE CM2A
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,06,599,CLASSE CE1C
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,07,514,SALLE DE CLASSE
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,08,518,SALLE DE CLASSE
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,09,514,CASE DES TOUT-PETITS
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,10,515,CASE DES TOUT-PETITS
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,11,423,CASE DES TOUT-PETITS
KANEL,KANEL,CASE DES TOUT PETITS,01,498,GRANDE SALLE
KANEL,KANEL,CASE DES TOUT PETITS,02,496,SALLE
KANEL,KANEL,CEM DE KANEL,01,437,CLASSE ANATOLE FRANCE
